date,league,home,away,hs,as,home_odds,away_odds,home_won
2024-03-28,MLB,Baltimore Orioles,Los Angeles Angels,11,3,1.53,2.6,1
2024-03-28,MLB,Cincinnati Reds,Washington Nationals,8,2,1.65,2.3,1
2024-03-28,MLB,Chicago White Sox,Detroit Tigers,0,1,2.35,1.63,0
2024-03-28,MLB,Houston Astros,New York Yankees,4,5,1.65,2.3,0
2024-03-28,MLB,Kansas City Royals,Minnesota Twins,1,4,2.05,1.8,0
2024-03-28,MLB,Los Angeles Dodgers,St. Louis Cardinals,7,1,1.42,2.95,1
2024-03-28,MLB,San Diego Padres,San Francisco Giants,6,4,1.91,1.91,1
2024-03-28,MLB,Tampa Bay Rays,Toronto Blue Jays,2,8,1.67,2.25,0
2024-03-28,MLB,Athletics,Cleveland Guardians,0,8,2.25,1.67,0
2024-03-28,MLB,Arizona Diamondbacks,Colorado Rockies,16,1,1.44,2.85,1
2024-03-28,MLB,Seattle Mariners,Boston Red Sox,4,6,1.65,2.3,0
2024-03-29,MLB,Baltimore Orioles,Los Angeles Angels,11,3,1.53,2.6,1
2024-03-29,MLB,Los Angeles Dodgers,St. Louis Cardinals,7,1,1.42,2.95,1
2024-03-29,MLB,Chicago White Sox,Detroit Tigers,0,1,2.35,1.63,0
2024-03-29,MLB,San Diego Padres,San Francisco Giants,6,4,1.91,1.91,1
2024-03-29,MLB,Kansas City Royals,Minnesota Twins,1,4,2.05,1.8,0
2024-03-29,MLB,Houston Astros,New York Yankees,4,5,1.65,2.3,0
2024-03-29,MLB,Tampa Bay Rays,Toronto Blue Jays,2,8,1.67,2.25,0
2024-03-29,MLB,Cincinnati Reds,Washington Nationals,8,2,1.65,2.3,1
2024-03-29,MLB,Athletics,Cleveland Guardians,0,8,2.25,1.67,0
2024-03-29,MLB,Arizona Diamondbacks,Colorado Rockies,16,1,1.44,2.85,1
2024-03-29,MLB,Seattle Mariners,Boston Red Sox,4,6,1.65,2.3,0
2024-03-29,MLB,New York Mets,Milwaukee Brewers,1,3,1.87,1.95,0
2024-03-29,MLB,Tampa Bay Rays,Toronto Blue Jays,8,2,1.77,2.1,1
2024-03-29,MLB,Philadelphia Phillies,Atlanta Braves,3,9,2.1,1.77,0
2024-03-29,MLB,Miami Marlins,Pittsburgh Pirates,2,7,1.71,2.2,0
2024-03-29,MLB,Seattle Mariners,Boston Red Sox,1,0,1.67,2.25,1
2024-03-29,MLB,Los Angeles Dodgers,St. Louis Cardinals,6,3,1.44,2.85,1
2024-03-29,MLB,Arizona Diamondbacks,Colorado Rockies,7,3,1.4,3.05,1
2024-03-29,MLB,Houston Astros,New York Yankees,1,7,1.83,2.0,0
2024-03-29,MLB,Athletics,Cleveland Guardians,4,6,2.1,1.77,0
2024-03-29,MLB,San Diego Padres,San Francisco Giants,3,8,1.71,2.2,0
2024-03-30,MLB,New York Mets,Milwaukee Brewers,1,3,1.87,1.95,0
2024-03-30,MLB,Tampa Bay Rays,Toronto Blue Jays,8,2,1.77,2.1,1
2024-03-30,MLB,Miami Marlins,Pittsburgh Pirates,2,7,1.71,2.2,0
2024-03-30,MLB,Philadelphia Phillies,Atlanta Braves,3,9,2.1,1.77,0
2024-03-30,MLB,Houston Astros,New York Yankees,1,7,1.83,2.0,0
2024-03-30,MLB,Athletics,Cleveland Guardians,4,6,2.1,1.77,0
2024-03-30,MLB,Arizona Diamondbacks,Colorado Rockies,7,3,1.4,3.05,1
2024-03-30,MLB,San Diego Padres,San Francisco Giants,3,8,1.71,2.2,0
2024-03-30,MLB,Seattle Mariners,Boston Red Sox,1,0,1.67,2.25,1
