date,league,home,away,hs,as,home_odds,away_odds,home_won
2024-10-22,NBA,Boston Celtics,New York Knicks,132,109,1.38,3.1,1
2024-10-22,NBA,Los Angeles Lakers,Minnesota Timberwolves,110,103,1.95,1.87,1
2024-10-23,NBA,Boston Celtics,New York Knicks,132,109,1.38,3.1,1
2024-10-23,NBA,Los Angeles Lakers,Minnesota Timberwolves,110,103,1.95,1.87,1
2024-10-23,NBA,Philadelphia 76ers,Milwaukee Bucks,109,124,2.5,1.56,0
2024-10-23,NBA,Detroit Pistons,Indiana Pacers,109,115,2.8,1.45,0
2024-10-23,NBA,Atlanta Hawks,Brooklyn Nets,120,116,1.36,3.25,1
2024-10-23,NBA,Utah Jazz,Memphis Grizzlies,124,126,2.15,1.74,0
2024-10-23,NBA,Portland Trail Blazers,Golden State Warriors,104,140,3.25,1.36,0
2024-10-23,NBA,Houston Rockets,Charlotte Hornets,105,110,1.3,3.65,0
2024-10-23,NBA,Toronto Raptors,Cleveland Cavaliers,106,136,3.05,1.4,0
2024-10-23,NBA,New Orleans Pelicans,Chicago Bulls,123,111,1.5,2.65,1
2024-10-23,NBA,Miami Heat,Orlando Magic,97,116,1.77,2.1,0
2024-10-24,NBA,Atlanta Hawks,Brooklyn Nets,120,116,1.36,3.25,1
2024-10-24,NBA,Philadelphia 76ers,Milwaukee Bucks,109,124,2.5,1.56,0
2024-10-24,NBA,Miami Heat,Orlando Magic,97,116,1.77,2.1,0
2024-10-24,NBA,Toronto Raptors,Cleveland Cavaliers,106,136,3.05,1.4,0
2024-10-24,NBA,Detroit Pistons,Indiana Pacers,109,115,2.8,1.45,0
2024-10-24,NBA,Houston Rockets,Charlotte Hornets,105,110,1.3,3.65,0
2024-10-24,NBA,Utah Jazz,Memphis Grizzlies,124,126,2.15,1.74,0
2024-10-24,NBA,Portland Trail Blazers,Golden State Warriors,104,140,3.25,1.36,0
2024-10-24,NBA,New Orleans Pelicans,Chicago Bulls,123,111,1.5,2.65,1
