date,league,home,away,hs,as,home_odds,away_odds,home_won
2024-10-08,NHL,Florida Panthers,Boston Bruins,6,4,1.61,2.4,1
2024-10-08,NHL,Utah Mammoth,Chicago Blackhawks,5,2,1.56,2.5,1
2024-10-08,NHL,Seattle Kraken,St. Louis Blues,2,3,1.61,2.4,0
2024-10-09,NHL,Seattle Kraken,St. Louis Blues,2,3,1.61,2.4,0
2024-10-09,NHL,Florida Panthers,Boston Bruins,6,4,1.61,2.4,1
2024-10-09,NHL,Utah Mammoth,Chicago Blackhawks,5,2,1.56,2.5,1
2024-10-09,NHL,Vegas Golden Knights,Colorado Avalanche,8,4,1.91,1.91,1
2024-10-09,NHL,Edmonton Oilers,Winnipeg Jets,0,6,1.53,2.6,0
2024-10-09,NHL,Pittsburgh Penguins,New York Rangers,0,6,2.25,1.67,0
2024-10-09,NHL,Montréal Canadiens,Toronto Maple Leafs,1,0,2.65,1.5,1
2024-10-10,NHL,Edmonton Oilers,Winnipeg Jets,0,6,1.53,2.6,0
2024-10-10,NHL,Pittsburgh Penguins,New York Rangers,0,6,2.25,1.67,0
2024-10-10,NHL,Montréal Canadiens,Toronto Maple Leafs,1,0,2.65,1.5,1
2024-10-10,NHL,Vegas Golden Knights,Colorado Avalanche,8,4,1.91,1.91,1
2024-10-10,NHL,Minnesota Wild,Columbus Blue Jackets,3,2,1.36,3.25,1
2024-10-10,NHL,Buffalo Sabres,Los Angeles Kings,1,3,1.91,1.91,0
2024-10-10,NHL,Boston Bruins,Montréal Canadiens,6,4,1.33,3.4,1
2024-10-10,NHL,Ottawa Senators,Florida Panthers,3,1,2.15,1.74,1
2024-10-10,NHL,New Jersey Devils,Toronto Maple Leafs,2,4,1.67,2.25,0
2024-10-10,NHL,Nashville Predators,Dallas Stars,3,4,2.15,1.74,0
2024-10-11,NHL,Buffalo Sabres,Los Angeles Kings,1,3,1.91,1.91,0
2024-10-11,NHL,Nashville Predators,Dallas Stars,3,4,2.15,1.74,0
2024-10-11,NHL,New Jersey Devils,Toronto Maple Leafs,2,4,1.67,2.25,0
2024-10-11,NHL,Minnesota Wild,Columbus Blue Jackets,3,2,1.36,3.25,1
2024-10-11,NHL,Boston Bruins,Montréal Canadiens,6,4,1.33,3.4,1
2024-10-11,NHL,Ottawa Senators,Florida Panthers,3,1,2.15,1.74,1
2024-10-11,NHL,Carolina Hurricanes,Tampa Bay Lightning,1,4,1.67,2.25,0
2024-10-11,NHL,Vegas Golden Knights,St. Louis Blues,4,3,1.44,2.85,1
2024-10-12,NHL,Carolina Hurricanes,Tampa Bay Lightning,1,4,1.67,2.25,0
2024-10-12,NHL,Vegas Golden Knights,St. Louis Blues,4,3,1.44,2.85,1
2024-10-12,NHL,Toronto Maple Leafs,Pittsburgh Penguins,4,2,1.53,2.6,1
2024-10-12,NHL,Detroit Red Wings,Nashville Predators,3,0,2.2,1.71,1
2024-10-12,NHL,Montréal Canadiens,Ottawa Senators,4,1,2.35,1.63,1
2024-10-12,NHL,Buffalo Sabres,Florida Panthers,5,2,1.95,1.87,1
2024-10-12,NHL,Dallas Stars,New York Islanders,3,0,1.59,2.45,1
2024-10-12,NHL,Washington Capitals,New Jersey Devils,3,5,2.15,1.74,0
2024-10-12,NHL,Colorado Avalanche,Columbus Blue Jackets,4,6,1.29,3.7,0
2024-10-12,NHL,Calgary Flames,Philadelphia Flyers,6,3,1.77,2.1,1
2024-10-12,NHL,San Jose Sharks,Anaheim Ducks,0,2,2.15,1.74,0
2024-10-12,NHL,Edmonton Oilers,Chicago Blackhawks,2,5,1.28,3.8,0
2024-10-13,NHL,Montréal Canadiens,Ottawa Senators,4,1,2.35,1.63,1
2024-10-13,NHL,Colorado Avalanche,Columbus Blue Jackets,4,6,1.29,3.7,0
2024-10-13,NHL,Toronto Maple Leafs,Pittsburgh Penguins,4,2,1.53,2.6,1
2024-10-13,NHL,Detroit Red Wings,Nashville Predators,3,0,2.2,1.71,1
2024-10-13,NHL,Washington Capitals,New Jersey Devils,3,5,2.15,1.74,0
2024-10-13,NHL,Dallas Stars,New York Islanders,3,0,1.59,2.45,1
2024-10-13,NHL,Buffalo Sabres,Florida Panthers,5,2,1.95,1.87,1
2024-10-13,NHL,Edmonton Oilers,Calgary Flames,1,4,1.37,3.2,0
2024-10-13,NHL,Vegas Golden Knights,Anaheim Ducks,3,1,1.33,3.4,1
2024-10-13,NHL,Dallas Stars,Seattle Kraken,2,0,1.59,2.45,1
2024-10-13,NHL,Calgary Flames,Philadelphia Flyers,6,3,1.77,2.1,1
2024-10-13,NHL,Edmonton Oilers,Chicago Blackhawks,2,5,1.28,3.8,0
2024-10-13,NHL,San Jose Sharks,Anaheim Ducks,0,2,2.15,1.74,0
2024-10-14,NHL,New York Rangers,Detroit Red Wings,4,1,1.42,2.95,1
2024-10-14,NHL,Montréal Canadiens,Pittsburgh Penguins,3,6,2.25,1.67,0
2024-10-14,NHL,New Jersey Devils,Utah Mammoth,3,0,1.63,2.35,1
2024-10-14,NHL,Boston Bruins,Florida Panthers,3,4,1.74,2.15,0
2024-10-14,NHL,Colorado Avalanche,New York Islanders,2,6,1.63,2.35,0
2024-10-14,NHL,Dallas Stars,Seattle Kraken,2,0,1.59,2.45,1
2024-10-14,NHL,Edmonton Oilers,Calgary Flames,1,4,1.37,3.2,0
2024-10-14,NHL,Vegas Golden Knights,Anaheim Ducks,3,1,1.33,3.4,1
2024-10-15,NHL,Washington Capitals,Vegas Golden Knights,4,2,2.1,1.77,1
2024-10-15,NHL,St. Louis Blues,Minnesota Wild,1,4,1.95,1.87,0
2024-10-15,NHL,Carolina Hurricanes,New Jersey Devils,4,2,1.61,2.4,1
2024-10-15,NHL,Nashville Predators,Seattle Kraken,3,7,1.53,2.6,0
2024-10-15,NHL,Montréal Canadiens,Pittsburgh Penguins,3,6,2.25,1.67,0
2024-10-15,NHL,New York Rangers,Detroit Red Wings,4,1,1.42,2.95,1
2024-10-15,NHL,Colorado Avalanche,New York Islanders,2,6,1.63,2.35,0
2024-10-15,NHL,Boston Bruins,Florida Panthers,3,4,1.74,2.15,0
2024-10-15,NHL,Tampa Bay Lightning,Vancouver Canucks,4,1,1.74,2.15,1
2024-10-15,NHL,New Jersey Devils,Utah Mammoth,3,0,1.63,2.35,1
2024-10-15,NHL,Calgary Flames,Chicago Blackhawks,3,1,1.65,2.3,1
2024-10-15,NHL,Columbus Blue Jackets,Florida Panthers,3,4,2.2,1.71,0
2024-10-16,NHL,Carolina Hurricanes,New Jersey Devils,4,2,1.61,2.4,1
2024-10-16,NHL,St. Louis Blues,Minnesota Wild,1,4,1.95,1.87,0
2024-10-16,NHL,Nashville Predators,Seattle Kraken,3,7,1.53,2.6,0
2024-10-16,NHL,Columbus Blue Jackets,Florida Panthers,3,4,2.2,1.71,0
2024-10-16,NHL,Washington Capitals,Vegas Golden Knights,4,2,2.1,1.77,1
2024-10-16,NHL,Calgary Flames,Chicago Blackhawks,3,1,1.65,2.3,1
2024-10-16,NHL,Tampa Bay Lightning,Vancouver Canucks,4,1,1.74,2.15,1
2024-10-16,NHL,Toronto Maple Leafs,Los Angeles Kings,6,2,1.5,2.65,1
2024-10-16,NHL,Colorado Avalanche,Boston Bruins,3,5,1.71,2.2,0
2024-10-17,NHL,Toronto Maple Leafs,Los Angeles Kings,6,2,1.5,2.65,1
2024-10-17,NHL,Colorado Avalanche,Boston Bruins,3,5,1.71,2.2,0
2024-10-17,NHL,Columbus Blue Jackets,Buffalo Sabres,6,4,2.2,1.71,1
2024-10-17,NHL,Washington Capitals,Dallas Stars,3,2,2.3,1.65,1
2024-10-17,NHL,Seattle Kraken,Philadelphia Flyers,6,4,1.71,2.2,1
2024-10-17,NHL,Montréal Canadiens,Los Angeles Kings,1,4,2.2,1.71,0
2024-10-17,NHL,Chicago Blackhawks,San Jose Sharks,4,2,1.53,2.6,1
2024-10-17,NHL,Tampa Bay Lightning,Vegas Golden Knights,4,3,1.65,2.3,1
2024-10-17,NHL,Ottawa Senators,New Jersey Devils,1,3,2.2,1.71,0
2024-10-17,NHL,Nashville Predators,Edmonton Oilers,2,4,2.1,1.77,0
2024-10-17,NHL,Detroit Red Wings,New York Rangers,2,5,2.25,1.67,0
2024-10-18,NHL,Washington Capitals,Dallas Stars,3,2,2.3,1.65,1
2024-10-18,NHL,Montréal Canadiens,Los Angeles Kings,1,4,2.2,1.71,0
2024-10-18,NHL,Ottawa Senators,New Jersey Devils,1,3,2.2,1.71,0
2024-10-18,NHL,Columbus Blue Jackets,Buffalo Sabres,6,4,2.2,1.71,1
2024-10-18,NHL,Tampa Bay Lightning,Vegas Golden Knights,4,3,1.65,2.3,1
