tour,date,tournament,winner,loser,B365W,B365L,PSW,PSL
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Bublik A.,Mannarino A.,2,1.72,2.21,1.74
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Moutet C.,Sandgren T.,1.57,2.25,1.6,2.47
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Verdasco F.,Andujar P.,1.25,3.75,1.31,3.74
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Bedene A.,Ymer M.,1.83,1.83,1.97,1.92
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Chardy J.,Barrere G.,1.5,2.5,1.54,2.62
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Kecmanovic M.,Thompson J.,1.66,2.1,1.74,2.21
ATP,2020-01-06 00:00:00,Qatar Exxon Mobil Open,Krajinovic F.,Edmund K.,1.83,1.83,1.9,1.99
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Djere L.,Sonego L.,3,1.36,3.18,1.4
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Fucsovics M.,Tiafoe F.,2,1.72,2.03,1.86
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Ilkel C.,Berankis R.,3.5,1.28,3.34,1.37
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Kukushkin M.,Jaziri M.,1.28,3.5,1.31,3.74
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Herbert P.H.,Cecchinato M.,1.53,2.37,1.57,2.55
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Bedene A.,Bublik A.,1.66,2.1,1.83,2.09
ATP,2020-01-07 00:00:00,Qatar Exxon Mobil Open,Wawrinka S.,Chardy J.,1.3,3.4,1.43,3.08
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Rublev A.,Kukushkin M.,1.3,3.4,1.29,4.01
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Fucsovics M.,Ilkel C.,1.16,5,1.26,4.34
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Verdasco F.,Krajinovic F.,2.25,1.57,2.4,1.65
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Herbert P.H.,Djere L.,1.44,2.62,1.45,2.99
ATP,2020-01-08 00:00:00,Qatar Exxon Mobil Open,Kecmanovic M.,Tsonga J.W.,2.1,1.66,2.48,1.61
