date,sport,league,category,home,away,hs,as,home_won,total_score,btts,odds_1,odds_x,odds_2,odds_over_0_5,odds_under_0_5,odds_over_1_5,odds_under_1_5,odds_over_2_5,odds_under_2_5,odds_over_3_5,odds_under_3_5,odds_btts_y,odds_btts_n
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Hugo Gaston,Omar Jasika,3,1,True,4,True,1.36,,3.2,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Otto Virtanen,Arthur Fils,1,3,False,4,True,6.0,,1.13,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Kei Nishikori,Thiago Monteiro,3,2,True,5,True,1.2,,4.5,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Casper Ruud,Jaume Munar,3,2,True,5,True,1.17,,5.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Hady Habib,Yunchaokete Bu,3,0,True,3,False,3.2,,1.36,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Jiri Lehečka,Li Tu,3,1,True,4,True,1.07,,9.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Sumit Nagal,Tomaš Machač,0,3,False,3,False,11.0,,1.05,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Ugo Humbert,Matteo Gigante,3,0,True,3,False,1.08,,8.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Gauthier Onclin,Reilly Opelka,1,3,False,4,True,3.75,,1.29,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Adam Walton,Quentin Halys,2,3,False,5,True,1.8,,2.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Lucas Pouille,Alexander Zverev,0,3,False,3,False,19.0,,1.02,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Bernarda Pera,Tatjana Maria,0,2,False,2,False,1.44,,2.75,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Marie Bouzkova,Mirra Andreeva,0,2,False,2,False,3.75,,1.29,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Veronika Erjavec,Suzan Lamens,0,2,False,2,False,2.63,,1.5,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Yuliia Starodubtseva,Leylah Fernandez,0,2,False,2,False,5.5,,1.14,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Anca Todoni,Qinwen Zheng,0,2,False,2,False,7.0,,1.1,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Diane Parry,Donna Vekić,0,2,False,2,False,3.75,,1.29,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Paula Badosa,Xinyu Wang,2,0,True,2,False,1.25,,4.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Clara Tauson,Linda Noskova,2,1,True,3,True,2.0,,1.8,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Sonay Kartal,Jessica Bouzas Maneiro,0,2,False,2,False,1.67,,2.2,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Aryna Sabalenka,Sloane Stephens,2,0,True,2,False,1.03,,15.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Cristina Bucsa,Chloe Paquet,2,0,True,2,False,1.36,,3.2,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Hugo Gaston,Omar Jasika,3,1,True,4,True,1.36,,3.2,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Otto Virtanen,Arthur Fils,1,3,False,4,True,6.0,,1.13,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Kei Nishikori,Thiago Monteiro,3,2,True,5,True,1.2,,4.5,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Casper Ruud,Jaume Munar,3,2,True,5,True,1.17,,5.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Hady Habib,Yunchaokete Bu,3,0,True,3,False,3.2,,1.36,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Jiri Lehečka,Li Tu,3,1,True,4,True,1.07,,9.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Sumit Nagal,Tomaš Machač,0,3,False,3,False,11.0,,1.05,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Ugo Humbert,Matteo Gigante,3,0,True,3,False,1.08,,8.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Gauthier Onclin,Reilly Opelka,1,3,False,4,True,3.75,,1.29,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Adam Walton,Quentin Halys,2,3,False,5,True,1.8,,2.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",ATP,Lucas Pouille,Alexander Zverev,0,3,False,3,False,19.0,,1.02,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Bernarda Pera,Tatjana Maria,0,2,False,2,False,1.44,,2.75,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Marie Bouzkova,Mirra Andreeva,0,2,False,2,False,3.75,,1.29,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Veronika Erjavec,Suzan Lamens,0,2,False,2,False,2.63,,1.5,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Yuliia Starodubtseva,Leylah Fernandez,0,2,False,2,False,5.5,,1.14,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Anca Todoni,Qinwen Zheng,0,2,False,2,False,7.0,,1.1,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Diane Parry,Donna Vekić,0,2,False,2,False,3.75,,1.29,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Paula Badosa,Xinyu Wang,2,0,True,2,False,1.25,,4.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Clara Tauson,Linda Noskova,2,1,True,3,True,2.0,,1.8,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Sonay Kartal,Jessica Bouzas Maneiro,0,2,False,2,False,1.67,,2.2,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Aryna Sabalenka,Sloane Stephens,2,0,True,2,False,1.03,,15.0,,,,,,,,,,
2025-01-12,tennis,"Australian Open, Melbourne, Australia",WTA,Cristina Bucsa,Chloe Paquet,2,0,True,2,False,1.36,,3.2,,,,,,,,,,
2025-01-13,tennis,"Australian Open, Melbourne, Australia",WTA,Anna Blinkova,Daria Saville,2,1,True,3,True,1.5,,2.63,,,,,,,,,,
2025-01-13,tennis,"Australian Open, Melbourne, Australia",ATP,Alejandro Tabilo,Roberto Carballés Baena,1,3,False,4,True,1.5,,2.63,,,,,,,,,,
2025-01-13,tennis,"Australian Open, Melbourne, Australia",ATP,Arthur Rinderknech,Frances Tiafoe,2,3,False,5,True,3.75,,1.29,,,,,,,,,,
