date,sport,league,category,home,away,hs,as,home_won,total_score,btts,odds_1,odds_x,odds_2,odds_over_0_5,odds_under_0_5,odds_over_1_5,odds_under_1_5,odds_over_2_5,odds_under_2_5,odds_over_3_5,odds_under_3_5,odds_btts_y,odds_btts_n
2018-03-30,baseball,"MLB, Regular Season",USA,Miami Marlins,Chicago Cubs,4,8,False,12,True,2.75,,1.47,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,New York Mets,St. Louis Cardinals,9,4,True,13,True,1.71,,2.2,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Baltimore Orioles,Minnesota Twins,3,2,True,5,True,1.76,,2.1,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Texas Rangers,Houston Astros,1,4,False,5,True,2.4,,1.62,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Toronto Blue Jays,New York Yankees,1,6,False,7,True,2.45,,1.6,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Tampa Bay Rays,Boston Red Sox,6,4,True,10,True,2.5,,1.58,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Athletics,Los Angeles Angels,6,5,True,11,True,2.0,,1.83,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Atlanta Braves,Philadelphia Phillies,8,5,True,13,True,2.05,,1.8,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,San Diego Padres,Milwaukee Brewers,1,2,False,3,True,2.05,,1.8,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Kansas City Royals,Chicago White Sox,7,14,False,21,True,1.76,,2.1,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Los Angeles Dodgers,San Francisco Giants,0,1,False,1,False,1.33,,3.4,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Arizona Diamondbacks,Colorado Rockies,8,2,True,10,True,1.9,,1.9,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Seattle Mariners,Cleveland Guardians,2,1,True,3,True,2.55,,1.57,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Miami Marlins,Chicago Cubs,4,8,False,12,True,2.75,,1.47,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,New York Mets,St. Louis Cardinals,9,4,True,13,True,1.71,,2.2,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Baltimore Orioles,Minnesota Twins,3,2,True,5,True,1.76,,2.1,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Texas Rangers,Houston Astros,1,4,False,5,True,2.4,,1.62,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Toronto Blue Jays,New York Yankees,1,6,False,7,True,2.45,,1.6,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Tampa Bay Rays,Boston Red Sox,6,4,True,10,True,2.5,,1.58,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Athletics,Los Angeles Angels,6,5,True,11,True,2.0,,1.83,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Atlanta Braves,Philadelphia Phillies,8,5,True,13,True,2.05,,1.8,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,San Diego Padres,Milwaukee Brewers,1,2,False,3,True,2.05,,1.8,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Kansas City Royals,Chicago White Sox,7,14,False,21,True,1.76,,2.1,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Los Angeles Dodgers,San Francisco Giants,0,1,False,1,False,1.33,,3.4,,,,,,,,,,
2018-03-30,baseball,"MLB, Regular Season",USA,Arizona Diamondbacks,Colorado Rockies,8,2,True,10,True,1.9,,1.9,,,,,,,,,,
