date,sport,league,category,home,away,hs,as,home_won,total_score,btts,odds_1,odds_x,odds_2,odds_over_0_5,odds_under_0_5,odds_over_1_5,odds_under_1_5,odds_over_2_5,odds_under_2_5,odds_over_3_5,odds_under_3_5,odds_btts_y,odds_btts_n
2018-01-01,ice-hockey,NHL,USA,Vegas Golden Knights,Toronto Maple Leafs,6,3,True,9,True,1.71,,2.2,,,,,,,,,,
2018-01-01,ice-hockey,NHL,USA,Anaheim Ducks,Utah Mammoth,5,2,True,7,True,1.5,,2.7,,,,,,,,,,
2018-01-01,ice-hockey,NHL,USA,Columbus Blue Jackets,Tampa Bay Lightning,0,5,False,5,False,2.45,,1.6,,,,,,,,,,
2018-01-01,ice-hockey,NHL,USA,Detroit Red Wings,Pittsburgh Penguins,4,1,True,5,True,2.15,,1.74,,,,,,,,,,
2018-01-01,ice-hockey,NHL,USA,Edmonton Oilers,Winnipeg Jets,0,5,False,5,False,1.6,,2.45,,,,,,,,,,
2018-01-01,ice-hockey,NHL,USA,Colorado Avalanche,New York Islanders,6,1,True,7,True,2.15,,1.74,,,,,,,,,,
2018-01-01,ice-hockey,NHL,USA,Dallas Stars,San Jose Sharks,6,0,True,6,False,1.8,,2.05,,,,,,,,,,
2018-01-01,ice-hockey,Elite League,United Kingdom,Glasgow Clan,Dundee Stars,6,0,True,6,False,1.28,,3.3,,,,,,,,,,
2018-01-01,ice-hockey,Elite League,United Kingdom,Edinburgh Capitals,Fife Flyers,3,5,False,8,True,9.0,,1.04,,,,,,,,,,
2018-01-02,ice-hockey,Elite League,United Kingdom,Coventry Blaze,Nottingham Panthers,1,2,False,3,True,2.2,,1.6,,,,,,,,,,
2018-01-02,ice-hockey,Elite League,United Kingdom,Milton Keynes Lightning,Cardiff Devils,0,5,False,5,False,2.6,,1.45,,,,,,,,,,
2018-01-02,ice-hockey,Elite League,United Kingdom,Coventry Blaze,Nottingham Panthers,1,2,False,3,True,2.2,,1.6,,,,,,,,,,
2018-01-02,ice-hockey,Elite League,United Kingdom,Milton Keynes Lightning,Cardiff Devils,0,5,False,5,False,2.6,,1.45,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,New York Islanders,Boston Bruins,1,5,False,6,True,2.2,,1.71,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Philadelphia Flyers,Pittsburgh Penguins,1,5,False,6,True,1.8,,2.05,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Toronto Maple Leafs,Tampa Bay Lightning,0,2,False,2,False,2.1,,1.76,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Montréal Canadiens,San Jose Sharks,1,4,False,5,True,1.83,,2.0,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Minnesota Wild,Florida Panthers,5,1,True,6,True,1.58,,2.5,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Dallas Stars,Columbus Blue Jackets,1,2,False,3,True,1.64,,2.35,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Edmonton Oilers,Los Angeles Kings,0,5,False,5,False,1.74,,2.15,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Vancouver Canucks,Anaheim Ducks,0,5,False,5,False,2.1,,1.76,,,,,,,,,,
2018-01-03,ice-hockey,NHL,USA,Vegas Golden Knights,Nashville Predators,3,0,True,3,False,1.68,,2.25,,,,,,,,,,
2018-01-03,ice-hockey,DEL,Germany,EHC Red Bull München,Adler Mannheim,4,1,True,5,True,1.37,,3.1,,,,,,,,,,
2018-01-03,ice-hockey,DEL,Germany,Eisbären Berlin,Schwenningen Wild Wings,5,0,True,5,False,1.4,,3.0,,,,,,,,,,
2018-01-03,ice-hockey,DEL,Germany,Kölner Haie,Düsseldorfer EG,0,1,False,1,False,1.57,,2.45,,,,,,,,,,
2018-01-03,ice-hockey,DEL,Germany,Nürnberg Ice Tigers,Iserlohn Roosters,3,2,True,5,True,1.4,,3.0,,,,,,,,,,
2018-01-03,ice-hockey,SHL,Sweden,Mora IK,Luleå Hockey,5,3,True,8,True,2.15,,1.72,,,,,,,,,,
2018-01-03,ice-hockey,SHL,Sweden,Rögle BK,Djurgårdens IF,2,1,True,3,True,2.35,,1.62,,,,,,,,,,
