date,sport,league,category,home,away,hs,as,home_won,total_score,btts,odds_1,odds_x,odds_2,odds_over_0_5,odds_under_0_5,odds_over_1_5,odds_under_1_5,odds_over_2_5,odds_under_2_5,odds_over_3_5,odds_under_3_5,odds_btts_y,odds_btts_n
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Alexandr Dolgopolov,A. Haider-Maurer,3,0,True,3,False,1.04,,13.0,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Dudi Sela,Ryan Harrison,2,3,False,5,True,3.5,,1.3,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Kevin Anderson,Kyle Edmund,2,3,False,5,True,1.4,,3.0,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Pablo Carreño Busta,Jason Kubler,3,1,True,4,True,1.28,,3.75,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Pablo Cuevas,Mikhail Youzhny,3,0,True,3,False,1.72,,2.1,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Pierre-Hugues Herbert,Denis Istomin,1,3,False,4,True,2.2,,1.66,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Federico Delbonis,G. Müller,0,3,False,3,False,4.0,,1.25,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Andreas Seppi,Corentin Moutet,3,1,True,4,True,1.33,,3.4,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,David Ferrer,Andrey Rublev,2,3,False,5,True,1.9,,1.9,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Matthew Ebden,John Isner,3,1,True,4,True,3.5,,1.3,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Philipp Kohlschreiber,Yoshihito Nishioka,2,3,False,5,True,1.3,,3.5,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Stefanos Tsitsipas,Denis Shapovalov,0,3,False,3,False,2.2,,1.72,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Viktor Troicki,Alex Bolt,3,2,True,5,True,1.25,,4.0,,,,,,,,,,
2018-01-15,tennis,"Australian Open, Melbourne, Australia",ATP,Grigor Dimitrov,Dennis Novak,3,0,True,3,False,1.01,,21.0,,,,,,,,,,
