ticket_ref,ticket_date,ticket_type,ticket_status,ticket_total_odds,ticket_stake,ticket_stake_type,ticket_gain,ticket_legs_count,selection_market,selection_label,selection_match,selection_match_id,selection_sport,selection_odds,selection_status
"6DF4O4I0","2026-04-28 19:40","Simple","Gagné","2.35","","","236.79","1","Résultat","PSG","RésultatPSG2,35Paris SG5 - 4Bayern Munich","69339430","","2.35","Gagné"
"6DEMXI6B","2026-04-28 11:24","Combiné","Perdu","55.51","","","0.00","6","Vainqueur","A. Fils","","70836038","","1.31","Gagné"
"6DEMXI6B","2026-04-28 11:24","Combiné","Perdu","55.51","","","0.00","6","Vainqueur","J. Lehecka","","70836036","","2.30","Gagné"
"6DEMXI6B","2026-04-28 11:24","Combiné","Perdu","55.51","","","0.00","6","Vainqueur","F. Cerundolo","","70836032","","1.40","Perdu"
"6DEMXI6B","2026-04-28 11:24","Combiné","Perdu","55.51","","","0.00","6","Résultat","PSG","RésultatPSG2,35Paris SG5 - 4Bayern Munich","69339430","","2.35","Gagné"
"6DEMXI6B","2026-04-28 11:24","Combiné","Perdu","55.51","","","0.00","6","Vainqueur","F. Cobolli","","70835984","","2.00","Gagné"
"6DEMXI6B","2026-04-28 11:24","Combiné","Perdu","55.51","","","0.00","6","Vainqueur","J. Mensik","","70835982","","2.80","Perdu"
"6DEK4FND","2026-04-28 10:05","Combiné","Gagné","2.07","","","18.76","3","Vainqueur","A. Fils","","70836038","","1.30","Gagné"
"6DEK4FND","2026-04-28 10:05","Combiné","Gagné","2.07","","","18.76","3","Vainqueur","C. Ruud","","70836034","","1.36","Gagné"
"6DEK4FND","2026-04-28 10:05","Combiné","Gagné","2.07","","","18.76","3","Vainqueur","R. Jodar","","70836024","","1.17","Gagné"
"6DDTMPXV","2026-04-27 21:44","Simple","Perdu","","","","0.00","1","Vainqueur","T. Atmane","","70836028","","","Perdu"
"6DDNDWQQ","2026-04-27 18:49","Combiné","Perdu","2.72","","","0.00","4","Résultat","Besiktas","RésultatBesiktas 1,30Besiktas0 - 0Fatih Karagumruk","61730194","","1.30","Perdu"
"6DDNDWQQ","2026-04-27 18:49","Combiné","Perdu","2.72","","","0.00","4","Résultat","Mjallby","RésultatMjallby1,31Mjallby2 - 0Halmstad","67126512","","1.31","Gagné"
"6DDNDWQQ","2026-04-27 18:49","Combiné","Perdu","2.72","","","0.00","4","Vainqueur","A. Zverev","","70836028","","1.14","Gagné"
"6DDNDWQQ","2026-04-27 18:49","Combiné","Perdu","2.72","","","0.00","4","Résultat","Vikingur Reykjavik","RésultatVikingur Reykjavik1,40Vikingur Reykjavik4 - 0IA Akranes","68194610","","1.40","Gagné"
"6DDJZ19X","2026-04-27 17:13","Combiné","Perdu","1.97","10.00","Freebet","0.00","2","Vainqueur","F. Auger-Aliassime","","70836020","","1.33","Perdu"
"6DDJZ19X","2026-04-27 17:13","Combiné","Perdu","1.97","10.00","Freebet","0.00","2","Vainqueur","F. Cobolli","","70836016","","1.48","Gagné"
"6DD2Q2W3","2026-04-27 39:10","Combiné","Perdu","3.71","","","0.00","4","Vainqueur","C. Ruud","","70836008","","1.36","Gagné"
"6DD2Q2W3","2026-04-27 39:10","Combiné","Perdu","3.71","","","0.00","4","Vainqueur","B. Bencic","","70836168","","1.37","Perdu"
"6DD2Q2W3","2026-04-27 39:10","Combiné","Perdu","3.71","","","0.00","4","Vainqueur","D. Medvedev","","70836018","","1.31","Gagné"
"6DD2Q2W3","2026-04-27 39:10","Combiné","Perdu","3.71","","","0.00","4","Vainqueur","F. Cobolli","","70836016","","1.52","Gagné"
"6DC8F6TX","2026-04-26 21:13","Combiné","Perdu","8.85","","","0.00","6","Résultat","FC Porto","RésultatFC PortoLive1,30CF Estrela Amadora1 - 2FC Porto","61731494","Football","1.30","Gagné"
"6DC8F6TX","2026-04-26 21:13","Combiné","Perdu","8.85","","","0.00","6","Vainqueur","A. Rinderknech","","70836070","","1.66",""
"6DC8F6TX","2026-04-26 21:13","Combiné","Perdu","8.85","","","0.00","6","Vainqueur","E. Rybakina","","70836156","","1.23","Gagné"
"6DC8F6TX","2026-04-26 21:13","Combiné","Perdu","8.85","","","0.00","6","Résultat","Marseille","RésultatMarseilleLive1,62Marseille1 - 1Nice","61526550","","1.62","Perdu"
"6DC8F6TX","2026-04-26 21:13","Combiné","Perdu","8.85","","","0.00","6","Résultat","RSB","RésultatRSB1,21RSB Berkane2 - 1Olympique Dcheira","70943712","","1.21","Gagné"
"6DC8F6TX","2026-04-26 21:13","Combiné","Perdu","8.85","","","0.00","6","Vainqueur","R. Jodar","","70836068","","1.70","Gagné"
"6DBX1QCE","2026-04-26 13:44","Combiné","Gagné","4.31","","","26.09","4","Vainqueur","T.M. Etcheverry","","70836066","","1.78","Gagné"
"6DBX1QCE","2026-04-26 13:44","Combiné","Gagné","4.31","","","26.09","4","Vainqueur","Trabzonspor","VainqueurTrabzonspor1,43Trabzonspor79 - 69Galatasaray","63103791","","1.43","Gagné"
"6DBX1QCE","2026-04-26 13:44","Combiné","Gagné","4.31","","","26.09","4","Résultat","LASK","RésultatLASK1,50TSV Hartberg1 - 5LASK","69751534","","1.50","Gagné"
"6DBX1QCE","2026-04-26 13:44","Combiné","Gagné","4.31","","","26.09","4","Vainqueur","A. Fils","","70836064","","1.13","Gagné"
"6DB13K5Z","2026-04-25 22:49","Combiné","Perdu","10.89","","","0.00","4","Résultat","Atletico Nacional","RésultatAtletico Nacional1,40Deportivo Pereira1 - 0Atletico Nacional","67698110","","1.40","Perdu"
"6DB13K5Z","2026-04-25 22:49","Combiné","Perdu","10.89","","","0.00","4","Résultat","Botafogo","RésultatBotafogo2,40Botafogo2 - 2Internacional","66886720","","2.40","Perdu"
"6DB13K5Z","2026-04-25 22:49","Combiné","Perdu","10.89","","","0.00","4","Vainqueur","Athletics","VainqueurAthletics2,00Texas Rangers4 - 3Athletics","63300067","","2.00","Perdu"
"6DB13K5Z","2026-04-25 22:49","Combiné","Perdu","10.89","","","0.00","4","Vainqueur","New York Yankees","VainqueurNew York Yankees1,62Houston Astros3 - 8New York Yankees","63299787","Baseball","1.62","Gagné"
"6DAPAVN6","2026-04-25 17:19","Combiné","Perdu","12.78","5.00","Freebet","0.00","6","Vainqueur","AO Kifisias","","69885228","","1.56","Perdu"
"6DAPAVN6","2026-04-25 17:19","Combiné","Perdu","12.78","5.00","Freebet","0.00","6","Résultat","Celje","RésultatCelje1,82RK Celje27 - 26HC Ohrid 2013","70670666","","1.82","Gagné"
"6DAPAVN6","2026-04-25 17:19","Combiné","Perdu","12.78","5.00","Freebet","0.00","6","Résultat","Manchester City","RésultatManchester City1,21Manchester City2 - 1Southampton","70597066","","1.21","Gagné"
"6DAPAVN6","2026-04-25 17:19","Combiné","Perdu","12.78","5.00","Freebet","0.00","6","Vainqueur","Monaco","VainqueurMonaco1,60Le Mans83 - 87Monaco","69818456","","1.60","Gagné"
"6DAPAVN6","2026-04-25 17:19","Combiné","Perdu","12.78","5.00","Freebet","0.00","6","Vainqueur","C. Moutet","","70836104","","1.49","Perdu"
"6DAPAVN6","2026-04-25 17:19","Combiné","Perdu","12.78","5.00","Freebet","0.00","6","Vainqueur","A. Bublik","","70836108","","1.56","Perdu"
"6DA8VZ1K","2026-04-25 9:40","Combiné","Gagné","13.27","5.00","Freebet","63.81","7","Résultat","New Zealand Warriors","RésultatNew Zealand Warriors1,44New Zealand Warriors20 - 18Redcliffe Dolphins","65687428","","1.44","Gagné"
